"Nom";"Version";"Editeur";"Date";"Taille";"Source";"Categorie"
".AdskAppManager";"(dossier)";"-";"-";"0";"Dossier";"main"
"7-Zip 26.00 (x64)";"26.00";"Igor Pavlov";"-";"5,6";"Registre";"main"
"ACAD Private";"25.1.60.0";"Autodesk";"23/03/2026";"0,3";"Registre";"main"
"ACADE Private";"23.0.61.0";"Autodesk";"23/03/2026";"0,3";"Registre";"main"
"ACCA - PriMus-DCF v.BIM 2(e) - FR - x86 - (52.0.5.26680)";"52.0.5.26680";"ACCA software S.p.A.";"-";"0";"Registre";"main"
"ACCA - Solarius-PV v.usBIM(d) - FR - x64 - (18.0.5.32680)";"18.0.5.32680";"ACCA software S.p.A.";"-";"0";"Registre";"main"
"ACCA Common - ACCA_BIMPlatforms  v.123 - x86 - (1.1.24.32235)";"1.1.24.32235";"ACCA software S.p.A.";"-";"0";"Registre";"main"
"ACCA Common - ACCABrowser v.1.10m - x64 - (1.0.16.32363)";"1.0.16.32363";"ACCA software S.p.A.";"-";"0";"Registre";"main"
"ACCA Common - ACCABrowser v.1.10m - x86 - (1.0.16.32362)";"1.0.16.32362";"ACCA software S.p.A.";"-";"0";"Registre";"main"
"ACCA Common - ACCAPreviewHandler v.5.00f - x86 - (5.0.6.24119)";"5.0.6.24119";"ACCA software S.p.A.";"-";"0";"Registre";"main"
"ACCA Common - DrawingsX 21.11.0 v.21.11.0 - x64 - (2111.0.1.25646)";"2111.0.1.25646";"ACCA software S.p.A.";"-";"0";"Registre";"main"
"ACCA Common - Fonts  v.2.00d - x86 - (2.0.3.15260)";"2.0.3.15260";"ACCA software S.p.A.";"-";"0";"Registre";"main"
"ACCA Common - Microsoft .NET Framework 4.7.2 v.4.7.2 - x86 - (4.70.2.29453)";"4.70.2.29453";"ACCA software S.p.A.";"-";"0";"Registre";"composant"
"ACCA Common - Microsoft Visual C++ 2005 Redistributable Package v.2005 - x86 - (2005.0.2.15346)";"2005.0.2.15346";"ACCA software S.p.A.";"-";"0";"Registre";"composant"
"ACCA Common - Microsoft Visual C++ 2008 Redistributable Package v.2008 - x86 - (2008.0.2.15352)";"2008.0.2.15352";"ACCA software S.p.A.";"-";"0";"Registre";"composant"
"ACCA Common - Microsoft Visual C++ 2010 Redistributable Package v.2010(a) - x86 - (2010.0.2.15258)";"2010.0.2.15258";"ACCA software S.p.A.";"-";"0";"Registre";"composant"
"ACCA Common - Microsoft Visual C++ 2012 Redistributable (x86) v.2012 - x86 - (2012.0.2.15250)";"2012.0.2.15250";"ACCA software S.p.A.";"-";"0";"Registre";"composant"
"ACCA Common - Microsoft Visual C++ 2013 Redistributable Package v.2013a (12.0.40660) - x86 - (2013.0.3.15241)";"2013.0.3.15241";"ACCA software S.p.A.";"-";"0";"Registre";"composant"
"ACCA Common - Microsoft Visual C++ 2015-2019 Redistributable Package v.2015-2019 - x86 - (2019.0.1.25463)";"2019.0.1.25463";"ACCA software S.p.A.";"-";"0";"Registre";"composant"
"ACCA Common - SignTool v.2.00g - x86 - (2.0.8.19502)";"2.0.8.19502";"ACCA software S.p.A.";"-";"0";"Registre";"main"
"ACCA Common - TeighaX 4.3.1 (x32_x64) v.4.3.1(b) - x86 - (431.0.2.15439)";"431.0.2.15439";"ACCA software S.p.A.";"-";"0";"Registre";"main"
"ActivityInsights";"(dossier)";"-";"-";"0";"Dossier";"main"
"Adlm";"(dossier)";"-";"-";"0";"Dossier";"main"
"AdpIPMClient";"(dossier)";"-";"-";"0";"Dossier";"main"
"AdskLicensingAgent";"(dossier)";"-";"-";"0";"Dossier";"main"
"AlpiUpdate";"7.0.0.20";"I.G.E. SAS";"09/03/2026";"50,2";"Registre";"main"
"Applications recommandées Autodesk";"3.6.0";"Autodesk";"23/03/2026";"19";"Registre";"main"
"AppUp.IntelOptaneMemoryandStorageManagement";"18.1.1042.0";;"-";"0";"AppX";"main"
"Arduino IDE 2.3.8";"2.3.8";"Arduino SA";"-";"527,5";"Registre";"main"
"AutoCAD 2023";"(dossier)";"-";"-";"0";"Dossier";"main"
"AutoCAD 2026 - Français (French)";"25.1.60.0";"Autodesk";"23/03/2026";"13,2";"Registre";"doublon"
"AutoCAD Electrical 2023";"(dossier)";"-";"-";"0";"Dossier";"main"
"AutoCAD Electrical 2026 - Français (French)";"23.0.61.0";"Autodesk";"23/03/2026";"876,3";"Registre";"doublon"
"AutoCAD Electrical 2026 CA Language Pack - Français (French)";"23.0.61.0";"Autodesk";"23/03/2026";"0,6";"Registre";"update"
"AutoCAD Electrical 2026 Content CA Language Pack - Français (French)";"23.0.61.0";"Autodesk";"23/03/2026";"663,2";"Registre";"update"
"AutoCAD Electrical 2026 Content Pack CA";"23.0.61.0";"Autodesk";"23/03/2026";"5,7";"Registre";"main"
"AutoCAD Electrical 2026.0.1 Update";"23.0.83.0";"Autodesk, Inc.";"23/03/2026";"79,6";"Registre";"update"
"AutoCAD Open in Desktop";"1.0.28.0";"Autodesk";"23/03/2026";"0";"Registre";"main"
"AutoCAD-OpenInDesktop";"(dossier)";"-";"-";"0";"Dossier";"main"
"Autodesk Access";"2.21.0.559";"Autodesk, Inc.";"23/03/2026";"69,7";"Registre";"main"
"Autodesk AdSSO";"(dossier)";"-";"-";"0";"Dossier";"main"
